"","year","gross","budget","genres1","genres2","genres3","genres4","genres5","genres6"
"284",2002,132014112,1.02e+08,"Action","Drama","Romance",NA,NA,NA
"285",2002,261970615,1e+08,"Action","Mystery","Sci-Fi","Thriller",NA,NA
"286",2006,167007184,1.5e+08,"Adventure","Family","Fantasy","Mystery",NA,NA
"287",2001,180011740,1e+08,"Action","Adventure","Thriller",NA,NA,NA
"288",1991,204843350,1.02e+08,"Action","Adventure","Sci-Fi","Thriller",NA,NA
"289",2009,97030725,1e+08,"Action","Sci-Fi",NA,NA,NA,NA
"290",2007,130127620,1e+08,"Biography","Crime","Drama","History","Romance",NA
"291",1994,146282411,1.15e+08,"Biography","Crime","Drama",NA,NA,NA
"292",2009,65452312,1e+08,"Action","Comedy","Thriller",NA,NA,NA
"293",2010,148383780,1e+08,"Action","Crime","Thriller",NA,NA,NA
"294",2010,119219978,1e+08,"Comedy","Romance",NA,NA,NA,NA
"295",1996,101228120,1e+08,"Action","Comedy","Crime",NA,NA,NA
"296",2012,162804648,1e+08,"Action","Drama","Mystery","Thriller",NA,NA
"297",1996,100117603,1e+08,"Drama","Western",NA,NA,NA,NA
"298",2000,89296573,1e+08,"Animation","Drama","Family","Musical","Romance",NA
"299",2012,85017401,9.2e+07,"Adventure","Animation","Comedy","Family","Fantasy",NA
"300",2004,173005002,1e+08,"Action","Adventure","Thriller",NA,NA,NA
"301",2006,75030163,1e+08,"Action","Adventure","Comedy","Family","Mystery",NA
"302",2009,77222184,1e+08,"Action","Adventure","Family","Fantasy",NA,NA
"303",2015,34964818,1.5e+08,"Adventure","Drama","Family","Fantasy",NA,NA
"304",2013,107515297,1e+08,"Adventure","Family","Fantasy",NA,NA,NA
"305",2010,67631157,1e+08,"Adventure","Animation","Family","Fantasy",NA,NA
"306",1999,66862068,8.3e+07,"Action","Romance","Thriller",NA,NA,NA
"307",2006,57366262,1e+08,"Action","Fantasy","Horror","Mystery",NA,NA
"308",2013,116866727,1e+08,"Adventure","Drama","Thriller",NA,NA,NA
"309",1995,184031112,1e+08,"Biography","Comedy","Crime","Drama",NA,NA
"310",1997,54700065,1.05e+08,"Action","Adventure","Fantasy",NA,NA,NA
"311",2012,27098580,1.02e+08,"Action","Sci-Fi","War",NA,NA,NA
"312",2010,55673333,8e+07,"Drama","Sci-Fi",NA,NA,NA,NA
"313",2004,40198710,1e+08,"Action","Adventure","Animation","Family","Fantasy",NA
"314",2014,72660029,1e+08,"Action","Crime","Fantasy","Romance","Thriller",NA
"315",2002,38120554,1.4e+08,"Action","Adventure",NA,NA,NA,NA
"316",2009,49392095,1e+08,"Adventure","Animation","Family","Sci-Fi",NA,NA
"317",2014,39292022,9e+07,"Adventure","Comedy","Sci-Fi",NA,NA,NA
"318",2015,28772222,1.05e+08,"Action","Adventure","Thriller",NA,NA,NA
"319",2005,17010646,8.4e+07,"Action","Crime","Sport","Thriller",NA,NA
"320",2015,24985612,1e+08,"Comedy","Family","Fantasy",NA,NA,NA
"321",2002,4411102,1e+08,"Action","Adventure","Biography","Drama","History","Thriller"
"322",2010,35024475,1e+08,"Action","Comedy","Sci-Fi",NA,NA,NA
"323",2015,130174897,9.9e+07,"Action","Drama","Thriller","War",NA,NA
"324",1997,10200000,1e+07,"Adventure","Animation","Comedy","Family",NA,NA
"325",2001,202007640,9.8e+07,"Drama","Mystery","Thriller",NA,NA,NA
"326",2002,77679638,1e+08,"Action","Adventure","Fantasy","Thriller",NA,NA
"327",2011,9213,9.4e+07,"Crime","Drama",NA,NA,NA,NA
"328",2007,58867694,1e+08,"Drama","History","Romance","War",NA,NA
"329",2004,59475623,9e+07,"Animation","Comedy","Family","Sport",NA,NA
"330",2001,108638745,9.2e+07,"Comedy","Sci-Fi","Thriller",NA,NA,NA
"331",2012,86897182,9.5e+07,"Drama","History","War",NA,NA,NA
"332",1997,63540020,9.3e+07,"Comedy",NA,NA,NA,NA,NA
